id,mon,s,t
4906,"0,2,16,1,324,1",11,160
4907,"68,1,163,1",10,160
4908,"1,1,633,1",10,160
4909,"1,1,16,1,324,1",10,160
4910,"0,2,17,1,324,1",10,160
4911,"3,1,577,1",9,160
4912,"2,1,617,1",8,160
4913,"2,2,13,1,324,1",7,160
4914,"7,1,507,1",6,160
4915,"7,1,508,1",5,160
4916,"7,2,324,1",3,160
4917,"18,1,324,1",2,160
4918,"0,161",161,161
4919,"0,1,641,1",54,161
4920,"0,5,17,1,296,1",51,161
4921,"0,2,8,1,469,1",50,161
4922,"0,5,606,1",50,161
4923,"0,2,8,1,470,1",49,161
4924,"0,2,635,1",44,161
4925,"1,1,635,1",43,161
4926,"0,2,636,1",43,161
4927,"0,2,8,1,16,1,224,1",40,161
4928,"0,2,8,1,16,1,225,1",39,161
4929,"8,1,488,1",36,161
4930,"1,1,42,1,224,1",36,161
4931,"17,1,343,1",35,161
4932,"0,17,500,1",35,161
4933,"8,1,489,1",34,161
4934,"0,33,324,1",34,161
4935,"8,1,490,1",33,161
4936,"0,3,623,1",33,161
4937,"8,3,206,1",32,161
4938,"0,6,64,1,149,1",32,161
4939,"8,2,17,1,160,1",31,161
4940,"0,6,598,1",31,161
4941,"8,1,491,1",30,161
4942,"8,3,207,1",30,161
4943,"8,3,208,1",29,161
4944,"0,6,601,1",29,161
4945,"0,6,600,1",29,161
4946,"8,2,9,1,194,1",28,161
4947,"653,1",27,161
4948,"8,1,9,1,13,1,167,1",27,161
4949,"16,1,347,1",26,161
4950,"9,1,13,1,248,1",26,161
4951,"8,2,291,1",26,161
4952,"17,1,347,1",25,161
4953,"8,2,292,1",25,161
4954,"0,1,642,1",25,161
4955,"654,1",24,161
4956,"22,1,292,1",24,161
4957,"8,1,492,1",24,161
4958,"23,1,292,1",23,161
4959,"8,2,293,1",23,161
4960,"0,1,643,1",23,161
4961,"0,3,627,1",23,161
4962,"8,3,209,1",22,161
4963,"0,1,645,1",22,161
4964,"0,1,644,1",22,161
4965,"8,2,294,1",21,161
4966,"0,1,646,1",21,161
4967,"0,9,575,1",21,161
4968,"655,1",20,161
4969,"8,1,13,1,261,1",20,161
4970,"1,1,638,1",20,161
4971,"0,1,8,1,69,1,112,1",20,161
4972,"0,4,17,1,314,1",20,161
4973,"13,1,423,1",19,161
4974,"1,1,639,1",19,161
4975,"0,1,8,1,69,1,113,1",19,161
4976,"0,2,8,1,475,1",19,161
4977,"656,1",18,161
4978,"13,1,23,1,181,1",18,161
4979,"0,1,8,1,483,1",18,161
4980,"0,2,17,1,333,1",18,161
4981,"2,1,618,1",17,161
4982,"0,1,648,1",17,161
4983,"0,1,650,1",16,161
4984,"0,3,631,1",14,161
4985,"657,1",13,161
4986,"0,1,652,1",13,161
4987,"0,2,7,2,314,1",13,161
4988,"13,1,69,1,95,1",12,161
4989,"0,2,18,1,314,1",12,161
4990,"0,3,17,1,69,2",12,161
4991,"18,1,332,1",11,161
4992,"0,1,68,1,163,1",11,161
4993,"0,3,17,1,324,1",11,161
4994,"658,1",10,161
4995,"19,1,69,2",10,161
4996,"18,1,333,1",10,161
4997,"659,1",9,161
4998,"20,1,69,2",9,161
4999,"19,1,324,1",9,161
5000,"70,1,163,1",8,161
5001,"20,1,324,1",8,161
5002,"0,1,7,1,507,1",7,161
5003,"0,1,7,1,508,1",6,161
5004,"660,1",5,161
5005,"0,1,7,2,324,1",4,161
5006,"0,1,18,1,324,1",3,161
5007,"0,162",162,162
5008,"0,2,641,1",55,162
5009,"661,1",52,162
5010,"0,6,606,1",51,162
5011,"8,2,295,1",48,162
5012,"8,2,296,1",47,162
5013,"16,1,17,1,183,1",46,162
5014,"8,1,498,1",45,162
5015,"0,3,635,1",45,162
5016,"8,4,145,1",44,162
5017,"0,3,636,1",44,162
5018,"8,3,16,1,111,1",43,162
5019,"662,1",42,162
5020,"8,3,17,1,111,1",42,162
5021,"663,1",41,162
5022,"8,3,211,1",41,162
5023,"8,6,49,1",40,162
5024,"8,6,50,1",39,162
5025,"8,2,297,1",38,162
5026,"8,4,16,1,17,2",38,162
5027,"8,2,298,1",37,162
5028,"8,5,88,1",37,162
5029,"8,1,17,1,238,1",36,162
5030,"8,9",36,162
5031,"0,18,500,1",36,162
5032,"17,2,185,1",35,162
5033,"8,7,22,1",35,162
5034,"0,34,324,1",35,162
5035,"8,4,146,1",34,162
5036,"8,7,23,1",34,162
5037,"8,4,147,1",33,162
5038,"8,6,51,1",33,162
5039,"8,3,17,1,113,1",32,162
5040,"8,5,13,3",32,162
5041,"8,2,17,1,162,1",31,162
5042,"8,4,13,2,32,1",31,162
5043,"0,1,8,1,491,1",31,162
5044,"664,1",30,162
5045,"8,3,13,3,23,1",30,162
5046,"8,5,89,1",30,162
5047,"665,1",29,162
5048,"8,2,13,3,51,1",29,162
5049,"8,4,9,1,80,1",29,162
5050,"8,1,13,6",28,162
5051,"8,2,64,2",28,162
5052,"8,3,23,1,89,1",28,162
5053,"13,5,32,1",27,162
5054,"8,2,299,1",27,162
5055,"8,2,9,1,23,1,80,1",27,162
5056,"0,1,8,2,291,1",27,162
5057,"13,5,33,1",26,162
5058,"8,1,499,1",26,162
5059,"8,1,9,1,13,2,101,1",26,162
5060,"0,1,8,2,292,1",26,162
5061,"0,2,642,1",26,162
5062,"13,1,435,1",25,162
5063,"9,1,13,3,80,1",25,162
5064,"1,1,642,1",25,162
5065,"0,1,654,1",25,162
5066,"8,3,212,1",24,162
5067,"0,2,643,1",24,162
5068,"0,4,627,1",24,162
5069,"8,2,13,1,188,1",23,162
5070,"0,2,645,1",23,162
5071,"0,2,644,1",23,162
5072,"23,1,303,1",22,162
5073,"8,1,13,1,267,1",22,162
5074,"1,2,627,1",22,162
5075,"0,2,646,1",22,162
5076,"0,10,575,1",22,162
5077,"666,1",21,162
5078,"13,1,23,1,188,1",21,162
5079,"9,1,472,1",21,162
5080,"1,1,646,1",21,162
5081,"0,1,655,1",21,162
5082,"667,1",20,162
5083,"13,1,23,1,189,1",20,162
5084,"1,2,628,1",20,162
5085,"0,2,8,1,69,1,113,1",20,162
5086,"668,1",19,162
5087,"2,1,628,1",19,162
5088,"0,1,656,1",19,162
5089,"13,1,23,1,190,1",18,162
5090,"1,1,48,1,209,1",18,162
5091,"0,2,648,1",18,162
5092,"9,1,474,1",17,162
5093,"8,1,502,1",17,162
5094,"0,2,650,1",17,162
5095,"16,1,367,1",16,162
5096,"2,1,630,1",16,162
5097,"670,1",15,162
5098,"669,1",15,162
5099,"17,1,367,1",15,162
5100,"672,1",14,162
5101,"671,1",14,162
5102,"0,2,652,1",14,162
5103,"8,1,504,1",13,162
5104,"1,1,652,1",13,162
5105,"0,3,18,1,314,1",13,162
5106,"673,1",12,162
5107,"13,1,445,1",12,162
5108,"1,1,18,1,321,1",12,162
5109,"0,2,68,1,163,1",12,162
5110,"0,4,17,1,324,1",12,162
5111,"675,1",11,162
5112,"674,1",11,162
5113,"1,2,16,1,324,1",11,162
5114,"0,1,658,1",11,162
5115,"0,1,19,1,69,2",11,162
5116,"0,1,18,1,333,1",11,162
5117,"18,1,338,1",10,162
5118,"0,1,659,1",10,162
5119,"0,1,20,1,69,2",10,162
5120,"0,1,19,1,324,1",10,162
5121,"0,1,20,1,324,1",9,162
5122,"676,1",8,162
5123,"18,1,339,1",7,162
5124,"0,2,7,1,508,1",7,162
5125,"1,1,7,1,508,1",6,162
5126,"0,1,660,1",6,162
5127,"18,1,341,1",5,162
5128,"0,2,7,2,324,1",5,162
5129,"1,1,7,2,324,1",4,162
5130,"0,2,18,1,324,1",4,162
5131,"1,1,18,1,324,1",3,162
5132,"0,163",163,163
5133,"0,1,661,1",53,163
5134,"0,7,606,1",52,163
5135,"0,1,8,2,295,1",49,163
5136,"0,1,8,2,296,1",48,163
5137,"0,4,635,1",46,163
5138,"0,4,636,1",45,163
5139,"1,2,635,1",44,163
5140,"0,1,662,1",43,163
5141,"0,1,663,1",42,163
5142,"0,1,8,2,297,1",39,163
5143,"0,1,8,2,298,1",38,163
5144,"0,1,8,1,17,1,238,1",37,163
5145,"0,19,500,1",37,163
5146,"0,35,324,1",36,163
5147,"0,2,8,1,491,1",32,163
5148,"0,1,664,1",31,163
5149,"1,1,653,1",28,163
5150,"0,2,8,2,291,1",28,163
5151,"0,2,8,2,292,1",27,163
5152,"0,3,642,1",27,163
5153,"0,2,654,1",26,163
5154,"0,5,627,1",25,163
5155,"0,3,645,1",24,163
5156,"0,3,644,1",24,163
5157,"0,3,646,1",23,163
5158,"13,4,75,1",22,163
5159,"0,1,666,1",22,163
5160,"0,2,655,1",22,163
5161,"13,4,76,1",21,163
5162,"1,1,655,1",21,163
5163,"0,1,667,1",21,163
5164,"8,2,312,1",18,163
5165,"0,1,8,1,502,1",18,163
5166,"8,2,314,1",17,163
5167,"3,1,604,1",17,163
5168,"0,1,16,1,367,1",17,163
5169,"677,1",16,163
5170,"8,1,511,1",16,163
5171,"0,1,669,1",16,163
5172,"0,1,17,1,367,1",16,163
5173,"679,1",15,163
5174,"678,1",15,163
5175,"67,1,174,1",15,163
5176,"0,1,671,1",15,163
5177,"0,3,652,1",15,163
5178,"680,1",14,163
5179,"68,1,174,1",14,163
5180,"13,1,450,1",14,163
5181,"1,1,657,1",14,163
5182,"0,4,18,1,314,1",14,163
5183,"683,1",13,163
5184,"682,1",13,163
5185,"681,1",13,163
5186,"0,1,673,1",13,163
5187,"0,5,17,1,324,1",13,163
5188,"21,1,324,1",12,163
5189,"0,1,674,1",12,163
5190,"0,2,19,1,69,2",12,163
5191,"0,2,18,1,333,1",12,163
5192,"0,2,659,1",11,163
5193,"0,2,20,1,69,2",11,163
5194,"0,2,19,1,324,1",11,163
5195,"7,2,352,1",10,163
5196,"0,2,20,1,324,1",10,163
5197,"18,1,352,1",9,163
5198,"1,1,70,1,163,1",9,163
5199,"0,1,676,1",9,163
5200,"684,1",8,163
5201,"0,3,7,1,508,1",8,163
5202,"0,2,660,1",7,163
5203,"1,1,660,1",6,163
5204,"0,3,7,2,324,1",6,163
5205,"0,3,18,1,324,1",5,163
5206,"0,164",164,164
5207,"0,2,661,1",54,164
5208,"1,1,661,1",53,164
5209,"0,8,606,1",53,164
5210,"0,2,8,2,295,1",50,164
5211,"0,2,8,2,296,1",49,164
5212,"0,5,635,1",47,164
5213,"0,5,636,1",46,164
5214,"0,2,662,1",44,164
5215,"0,2,663,1",43,164
5216,"685,1",40,164
5217,"0,2,8,2,298,1",39,164
5218,"686,1",38,164
5219,"687,1",37,164
5220,"0,36,324,1",37,164
5221,"8,1,16,1,244,1",36,164
5222,"8,1,17,1,244,1",35,164
5223,"8,1,16,1,245,1",34,164
5224,"8,2,315,1",33,164
5225,"5,1,64,1,137,1",33,164
5226,"8,4,149,1",32,164
5227,"8,2,16,1,167,1",31,164
5228,"8,1,516,1",30,164
5229,"8,3,218,1",30,164
5230,"1,1,665,1",30,164
5231,"17,1,380,1",29,164
5232,"8,3,219,1",29,164
5233,"688,1",28,164
5234,"8,2,13,1,194,1",28,164
5235,"0,4,642,1",28,164
5236,"689,1",27,164
5237,"8,1,13,2,167,1",27,164
5238,"0,3,654,1",27,164
5239,"13,2,248,1",26,164
5240,"8,1,517,1",26,164
5241,"8,2,316,1",26,164
5242,"1,2,642,1",26,164
5243,"0,6,627,1",26,164
5244,"13,3,150,1",25,164
5245,"8,1,518,1",25,164
5246,"8,1,9,1,292,1",25,164
5247,"0,4,645,1",25,164
5248,"0,4,644,1",25,164
5249,"23,1,316,1",24,164
5250,"8,2,318,1",24,164
5251,"0,4,646,1",24,164
5252,"8,1,9,1,293,1",23,164
5253,"0,2,666,1",23,164
5254,"0,3,655,1",23,164
5255,"8,2,9,1,209,1",22,164
5256,"1,1,666,1",22,164
5257,"8,1,9,1,294,1",21,164
5258,"2,1,646,1",21,164
5259,"690,1",20,164
5260,"9,1,13,1,261,1",20,164
5261,"3,1,609,1",20,164
5262,"0,1,8,2,312,1",19,164
5263,"0,2,8,1,502,1",19,164
5264,"0,1,3,1,604,1",18,164
5265,"0,2,16,1,367,1",18,164
5266,"693,1",17,164
5267,"692,1",17,164
5268,"691,1",17,164
5269,"0,2,669,1",17,164
5270,"0,2,17,1,367,1",17,164
5271,"1,1,669,1",16,164
5272,"0,1,678,1",16,164
5273,"0,1,67,1,174,1",16,164
5274,"0,2,671,1",16,164
5275,"694,1",15,164
5276,"1,1,671,1",15,164
5277,"0,2,673,1",14,164
5278,"2,1,652,1",13,164
5279,"1,1,673,1",13,164
5280,"0,3,18,1,333,1",13,164
5281,"3,2,544,1",12,164
5282,"1,1,674,1",12,164
5283,"0,3,19,1,324,1",12,164
5284,"0,1,7,2,352,1",11,164
5285,"18,1,366,1",10,164
5286,"0,1,18,1,352,1",10,164
5287,"0,2,676,1",10,164
5288,"18,1,367,1",9,164
5289,"8,2,324,1",9,164
5290,"7,1,546,1",9,164
5291,"1,1,676,1",9,164
5292,"0,1,684,1",9,164
5293,"697,1",8,164
5294,"696,1",8,164
5295,"695,1",8,164
5296,"22,1,324,1",8,164
5297,"0,3,660,1",8,164
5298,"698,1",7,164
5299,"24,1,69,2",7,164
5300,"23,1,324,1",7,164
5301,"18,1,368,1",7,164
5302,"699,1",6,164
5303,"24,1,324,1",6,164
5304,"0,4,18,1,324,1",6,164
5305,"25,1,324,1",5,164
5306,"1,2,18,1,324,1",4,164
5307,"2,1,18,1,324,1",3,164
5308,"0,165",165,165
5309,"0,9,606,1",54,165
5310,"700,1",52,165
5311,"701,1",51,165
5312,"8,2,325,1",48,165
5313,"0,6,635,1",48,165
5314,"8,2,326,1",47,165
5315,"0,6,636,1",47,165
5316,"8,1,17,1,253,1",46,165
5317,"8,1,528,1",45,165
5318,"0,3,662,1",45,165
5319,"8,4,152,1",44,165
5320,"8,4,153,1",43,165
5321,"16,1,402,1",42,165
5322,"8,3,17,1,117,1",42,165
5323,"16,1,403,1",41,165
5324,"8,3,223,1",41,165
5325,"0,1,685,1",41,165
5326,"17,1,403,1",40,165
5327,"8,6,55,1",40,165
5328,"8,6,56,1",39,165
5329,"0,1,686,1",39,165
5330,"8,3,224,1",38,165
5331,"8,5,17,1,40,1",38,165
5332,"0,37,324,1",38,165
5333,"8,3,225,1",37,165
5334,"8,5,100,1",37,165
5335,"8,1,16,1,17,1,138,1",36,165
5336,"8,8,9,1",36,165
5337,"8,1,17,2,138,1",35,165
5338,"8,7,29,1",35,165
5339,"8,4,16,1,64,1",34,165
5340,"8,6,9,1,23,1",34,165
5341,"8,4,17,1,64,1",33,165
5342,"8,5,9,1,51,1",33,165
5343,"64,1,184,1",32,165
5344,"8,4,154,1",32,165
5345,"8,4,9,1,13,3",32,165
5346,"64,1,185,1",31,165
5347,"8,3,42,1,64,1",31,165
5348,"8,3,9,1,13,2,32,1",31,165
5349,"0,1,8,1,516,1",31,165
5350,"8,1,529,1",30,165
5351,"8,2,9,1,13,3,23,1",30,165
5352,"8,5,101,1",30,165
5353,"0,1,17,1,380,1",30,165
5354,"17,1,404,1",29,165
5355,"8,1,9,1,13,3,51,1",29,165
5356,"8,4,13,1,80,1",29,165
5357,"0,1,688,1",29,165
5358,"0,5,642,1",29,165
5359,"9,1,13,6",28,165
5360,"8,2,64,1,72,1",28,165
5361,"8,3,23,1,101,1",28,165
5362,"0,4,654,1",28,165
5363,"8,2,327,1",27,165
5364,"8,2,13,1,23,1,80,1",27,165
5365,"0,7,627,1",27,165
5366,"8,1,17,1,255,1",26,165
5367,"8,1,13,3,101,1",26,165
5368,"0,5,645,1",26,165
5369,"0,5,644,1",26,165
5370,"13,4,80,1",25,165
5371,"8,1,530,1",25,165
5372,"0,5,646,1",25,165
5373,"8,2,9,1,212,1",24,165
5374,"8,1,9,1,13,1,188,1",23,165
5375,"64,1,187,1",22,165
5376,"9,1,13,1,267,1",22,165
5377,"0,1,2,1,646,1",22,165
5378,"702,1",21,165
5379,"64,1,188,1",21,165
5380,"13,1,472,1",21,165
5381,"0,1,690,1",21,165
5382,"704,1",20,165
5383,"703,1",20,165
5384,"13,1,473,1",20,165
5385,"706,1",19,165
5386,"705,1",19,165
5387,"2,1,656,1",19,165
5388,"2,2,618,1",18,165
5389,"0,1,693,1",18,165
5390,"0,3,669,1",18,165
5391,"0,3,17,1,367,1",18,165
5392,"13,1,474,1",17,165
5393,"8,2,333,1",17,165
5394,"3,1,618,1",17,165
5395,"0,3,671,1",17,165
5396,"707,1",16,165
5397,"13,1,476,1",16,165
5398,"8,1,534,1",16,165
5399,"708,1",15,165
5400,"17,1,415,1",15,165
5401,"1,1,680,1",15,165
5402,"710,1",14,165
5403,"709,1",14,165
5404,"1,1,683,1",14,165
5405,"9,1,504,1",13,165
5406,"1,1,21,1,324,1",13,165
5407,"711,1",12,165
5408,"713,1",11,165
5409,"712,1",11,165
5410,"0,1,18,1,366,1",11,165
5411,"0,3,676,1",11,165
5412,"714,1",10,165
5413,"18,1,373,1",10,165
5414,"0,1,18,1,367,1",10,165
5415,"0,1,8,2,324,1",10,165
5416,"0,1,7,1,546,1",10,165
5417,"0,2,684,1",10,165
5418,"18,1,376,1",9,165
5419,"1,1,684,1",9,165
5420,"0,1,696,1",9,165
5421,"0,1,22,1,324,1",9,165
5422,"0,1,698,1",8,165
5423,"0,1,23,1,324,1",8,165
5424,"1,2,660,1",7,165
5425,"0,1,699,1",7,165
5426,"0,5,18,1,324,1",7,165
5427,"18,1,378,1",6,165
5428,"2,1,660,1",6,165
5429,"26,1,324,1",5,165
5430,"0,1,2,1,18,1,324,1",4,165
5431,"0,166",166,166
5432,"0,10,606,1",55,166
5433,"1,2,661,1",54,166
5434,"0,1,700,1",53,166
5435,"0,1,701,1",52,166
5436,"0,7,635,1",49,166
5437,"0,7,636,1",48,166
5438,"0,1,16,1,402,1",43,166
5439,"0,1,16,1,403,1",42,166
5440,"0,2,685,1",42,166
5441,"1,1,685,1",41,166
5442,"0,1,17,1,403,1",41,166
5443,"0,2,686,1",40,166
5444,"0,1,8,3,224,1",39,166
5445,"0,38,324,1",39,166
5446,"1,1,687,1",38,166
5447,"0,1,8,3,225,1",38,166
5448,"1,1,5,1,64,1,137,1",34,166
5449,"0,1,64,1,184,1",33,166
5450,"0,1,64,1,185,1",32,166
5451,"0,2,8,1,516,1",32,166
5452,"0,1,8,1,529,1",31,166
5453,"0,2,17,1,380,1",31,166
5454,"0,6,642,1",30,166
5455,"0,5,654,1",29,166
5456,"0,8,627,1",28,166
5457,"0,6,645,1",27,166
5458,"0,6,644,1",27,166
5459,"715,1",25,166
5460,"716,1",24,166
5461,"13,4,83,1",24,166
5462,"18,1,380,1",23,166
5463,"9,1,13,3,95,1",23,166
5464,"1,2,666,1",23,166
5465,"0,1,64,1,187,1",23,166
5466,"69,1,185,1",22,166
5467,"0,1,702,1",22,166
5468,"0,1,64,1,188,1",22,166
5469,"0,2,690,1",22,166
5470,"3,1,627,1",21,166
5471,"1,1,690,1",21,166
5472,"0,1,703,1",21,166
5473,"717,1",20,166
5474,"2,2,628,1",20,166
5475,"0,1,706,1",20,166
5476,"8,2,69,1,72,1",19,166
5477,"3,1,628,1",19,166
5478,"0,2,693,1",19,166
5479,"23,1,335,1",18,166
5480,"1,1,693,1",18,166
5481,"1,1,692,1",18,166
5482,"1,1,691,1",18,166
5483,"0,1,8,2,333,1",18,166
5484,"0,4,671,1",18,166
5485,"24,1,335,1",17,166
5486,"8,2,338,1",17,166
5487,"3,1,629,1",17,166
5488,"1,2,669,1",17,166
5489,"0,1,707,1",17,166
5490,"0,1,8,1,534,1",17,166
5491,"25,1,335,1",16,166
5492,"3,1,630,1",16,166
5493,"1,1,694,1",16,166
5494,"0,1,708,1",16,166
5495,"0,1,17,1,415,1",16,166
5496,"67,1,190,1",15,166
5497,"18,1,385,1",15,166
5498,"13,1,485,1",15,166
5499,"0,1,709,1",15,166
5500,"718,1",14,166
5501,"67,1,191,1",14,166
5502,"27,1,324,1",14,166
5503,"0,1,711,1",13,166
5504,"0,1,712,1",12,166
5505,"0,2,18,1,366,1",12,166
5506,"0,4,676,1",12,166
5507,"719,1",11,166
5508,"0,2,18,1,367,1",11,166
5509,"0,2,8,2,324,1",11,166
5510,"0,2,7,1,546,1",11,166
5511,"1,1,7,1,546,1",10,166
5512,"0,2,696,1",10,166
5513,"0,2,22,1,324,1",10,166
5514,"2,1,676,1",9,166
5515,"1,1,697,1",9,166
5516,"0,2,698,1",9,166
5517,"0,2,23,1,324,1",9,166
5518,"720,1",8,166
5519,"7,2,398,1",8,166
5520,"1,1,18,1,368,1",8,166
5521,"0,2,699,1",8,166
5522,"0,6,18,1,324,1",8,166
5523,"28,1,324,1",7,166
5524,"7,2,400,1",7,166
5525,"0,1,18,1,378,1",7,166
5526,"0,1,2,1,660,1",7,166
5527,"2,1,18,1,341,1",6,166
5528,"0,1,26,1,324,1",6,166
5529,"0,2,2,1,18,1,324,1",5,166
5530,"0,167",167,167
5531,"0,11,606,1",56,167
5532,"721,1",55,167
5533,"0,2,700,1",54,167
5534,"0,2,701,1",53,167
5535,"0,8,635,1",50,167
5536,"0,8,636,1",49,167
5537,"0,2,16,1,402,1",44,167
5538,"0,2,16,1,403,1",43,167
5539,"0,3,685,1",43,167
5540,"0,2,17,1,403,1",42,167
5541,"0,3,686,1",41,167
5542,"722,1",40,167
5543,"0,39,324,1",40,167
5544,"0,2,8,3,225,1",39,167
5545,"723,1",38,167
5546,"724,1",37,167
5547,"8,2,343,1",36,167
5548,"8,1,17,1,257,1",35,167
5549,"725,1",34,167
5550,"8,2,344,1",34,167
5551,"8,2,345,1",33,167
5552,"0,2,64,1,185,1",33,167
5553,"8,4,160,1",32,167
5554,"8,3,232,1",31,167
5555,"8,1,16,1,260,1",30,167
5556,"8,3,233,1",30,167
5557,"8,1,17,1,260,1",29,167
5558,"8,2,9,1,219,1",29,167
5559,"726,1",28,167
5560,"8,1,9,1,13,1,194,1",28,167
5561,"42,1,260,1",27,167
5562,"9,1,13,2,167,1",27,167
5563,"8,1,549,1",27,167
5564,"8,2,347,1",26,167
5565,"8,2,346,1",26,167
5566,"8,1,550,1",25,167
5567,"8,1,13,1,292,1",25,167
5568,"727,1",24,167
5569,"23,1,346,1",24,167
5570,"8,2,348,1",24,167
5571,"0,2,64,1,187,1",24,167
5572,"8,2,350,1",23,167
5573,"1,1,64,1,187,1",23,167
5574,"0,1,69,1,185,1",23,167
5575,"0,2,702,1",23,167
5576,"0,2,64,1,188,1",23,167
5577,"8,2,13,1,209,1",22,167
5578,"0,1,3,1,627,1",22,167
5579,"0,2,703,1",22,167
5580,"8,1,13,1,294,1",21,167
5581,"0,1,717,1",21,167
5582,"0,2,706,1",21,167
5583,"728,1",20,167
5584,"13,2,261,1",20,167
5585,"0,1,3,1,628,1",20,167
5586,"0,3,693,1",20,167
5587,"13,2,262,1",19,167
5588,"3,1,639,1",19,167
5589,"0,2,8,2,333,1",19,167
5590,"0,5,671,1",19,167
5591,"729,1",18,167
5592,"0,2,707,1",18,167
5593,"0,2,8,1,534,1",18,167
5594,"0,1,3,1,630,1",17,167
5595,"1,1,708,1",16,167
5596,"0,1,67,1,190,1",16,167
5597,"0,1,67,1,191,1",15,167
5598,"731,1",13,167
5599,"730,1",13,167
5600,"18,1,408,1",13,167
5601,"0,5,676,1",13,167
5602,"733,1",12,167
5603,"732,1",12,167
5604,"18,1,411,1",12,167
5605,"1,1,712,1",12,167
5606,"0,1,719,1",12,167
5607,"0,3,7,1,546,1",12,167
5608,"735,1",11,167
5609,"734,1",11,167
5610,"7,1,571,1",11,167
5611,"0,3,696,1",11,167
5612,"18,1,414,1",10,167
5613,"1,1,18,1,376,1",10,167
5614,"1,2,684,1",10,167
5615,"0,1,2,1,676,1",10,167
5616,"0,3,23,1,324,1",10,167
5617,"18,1,415,1",9,167
5618,"8,1,9,1,324,1",9,167
5619,"0,1,720,1",9,167
5620,"0,1,7,2,398,1",9,167
5621,"0,7,18,1,324,1",9,167
5622,"29,1,324,1",8,167
5623,"0,2,2,1,660,1",8,167
5624,"0,168",168,168
5625,"0,3,700,1",55,168
5626,"8,1,553,1",52,168
5627,"8,1,554,1",51,168
5628,"736,1",49,168
5629,"8,3,236,1",48,168
5630,"8,2,16,1,183,1",47,168
5631,"8,2,17,1,183,1",46,168
5632,"8,2,354,1",45,168
5633,"8,5,110,1",44,168
5634,"0,4,685,1",44,168
5635,"8,5,111,1",43,168
5636,"0,3,17,1,403,1",43,168
5637,"8,1,555,1",42,168
5638,"8,3,16,1,17,1,50,1",42,168
5639,"1,2,685,1",42,168
5640,"0,4,686,1",42,168
5641,"8,1,556,1",41,168
5642,"8,4,161,1",41,168
5643,"0,1,722,1",41,168
5644,"0,40,324,1",41,168
5645,"17,1,433,1",40,168
5646,"8,7,31,1",40,168
5647,"8,6,16,1,17,1",39,168
5648,"0,1,723,1",39,168
5649,"8,3,237,1",38,168
5650,"8,6,17,2",38,168
5651,"8,3,238,1",37,168
5652,"8,6,60,1",37,168
5653,"8,2,17,1,185,1",36,168
5654,"8,8,13,1",36,168
5655,"8,1,17,2,147,1",35,168
5656,"8,7,32,1",35,168
5657,"0,1,725,1",35,168
5658,"8,5,112,1",34,168
5659,"8,6,13,1,23,1",34,168
5660,"8,5,113,1",33,168
5661,"8,5,13,1,51,1",33,168
5662,"8,1,64,1,137,1",32,168
5663,"8,4,162,1",32,168
5664,"8,4,13,4",32,168
5665,"8,1,64,1,138,1",31,168
5666,"8,3,23,1,113,1",31,168
5667,"8,3,13,3,32,1",31,168
5668,"0,1,8,1,16,1,260,1",31,168
5669,"8,1,557,1",30,168
5670,"8,2,13,4,23,1",30,168
5671,"8,4,9,1,101,1",30,168
5672,"0,1,8,1,17,1,260,1",30,168
5673,"8,1,559,1",29,168
5674,"8,1,13,4,51,1",29,168
5675,"8,3,9,1,13,1,80,1",29,168
5676,"13,7",28,168
5677,"8,2,16,1,187,1",28,168
5678,"8,2,9,1,23,1,101,1",28,168
5679,"13,4,23,1,24,1",27,168
5680,"8,1,9,1,13,1,23,1,80,1",27,168
5681,"8,2,16,1,188,1",27,168
5682,"9,1,13,3,101,1",26,168
5683,"8,2,17,1,188,1",26,168
5684,"1,1,715,1",26,168
5685,"8,1,17,1,267,1",25,168
5686,"0,3,64,1,187,1",25,168
5687,"8,2,13,1,212,1",24,168
5688,"0,3,702,1",24,168
5689,"0,3,64,1,188,1",24,168
5690,"13,2,266,1",23,168
5691,"8,1,13,2,188,1",23,168
5692,"0,3,703,1",23,168
5693,"737,1",22,168
5694,"64,1,201,1",22,168
5695,"13,2,267,1",22,168
5696,"9,1,13,1,286,1",22,168
5697,"0,2,717,1",22,168
5698,"0,3,706,1",22,168
5699,"72,1,188,1",21,168
5700,"13,2,268,1",21,168
5701,"3,1,646,1",21,168
5702,"2,1,690,1",21,168
5703,"0,2,3,1,628,1",21,168
5704,"0,4,693,1",21,168
5705,"739,1",20,168
5706,"738,1",20,168
5707,"1,1,3,1,628,1",20,168
5708,"43,1,266,1",19,168
5709,"13,1,23,1,213,1",19,168
5710,"0,1,729,1",19,168
5711,"0,3,707,1",19,168
5712,"43,1,267,1",18,168
5713,"9,1,13,1,288,1",18,168
5714,"1,1,3,1,629,1",18,168
5715,"3,1,648,1",17,168
5716,"0,2,67,1,190,1",17,168
5717,"8,2,367,1",16,168
5718,"3,1,650,1",16,168
5719,"1,1,18,1,385,1",16,168
5720,"741,1",15,168
5721,"740,1",15,168
5722,"67,1,197,1",15,168
5723,"8,1,562,1",15,168
5724,"1,1,27,1,324,1",15,168
5725,"742,1",14,168
5726,"30,1,324,1",14,168
5727,"8,1,563,1",14,168
5728,"0,1,731,1",14,168
5729,"0,1,730,1",14,168
5730,"0,6,676,1",14,168
5731,"3,1,652,1",13,168
